iter	Logloss
0	0.6892601204
1	0.6851013311
2	0.6812119239
3	0.6770191991
4	0.6732606551
5	0.6691937637
6	0.6652717965
7	0.6615220798
8	0.657336492
9	0.653948946
10	0.6499988396
11	0.6461845825
12	0.6427471002
13	0.6393561907
14	0.6359096544
15	0.6319766244
16	0.6287243125
17	0.625148651
18	0.622168452
19	0.6192691997
20	0.6159888625
21	0.6126591788
22	0.6096408666
23	0.6070575555
24	0.6042826872
25	0.6013808883
26	0.5989279216
27	0.5962155818
28	0.5930956301
29	0.5904004461
30	0.5874975376
31	0.584901741
32	0.5823083359
33	0.5798231317
34	0.5771988183
35	0.5743071185
36	0.5718452925
37	0.5693378341
38	0.5667266198
39	0.5645604136
40	0.5623682368
41	0.5598631463
42	0.5579736264
43	0.5557649109
44	0.5535012396
45	0.5511767482
46	0.5492280767
47	0.5470579065
48	0.5448412396
49	0.5430780886
50	0.5413076943
51	0.5397139319
52	0.538013466
53	0.5360725731
54	0.5338481663
55	0.5322046711
56	0.5301160448
57	0.5286089773
58	0.5266282561
59	0.5248174045
60	0.5231020947
61	0.5213052616
62	0.5197189927
63	0.51786617
64	0.5161738457
65	0.5144724887
66	0.5131082134
67	0.5116827938
68	0.5104969218
69	0.5090768304
70	0.5074041781
71	0.5057804516
72	0.5042017807
73	0.5027222313
74	0.5012366334
75	0.4998021765
76	0.4985290483
77	0.4972073882
78	0.4954625567
79	0.4941063322
80	0.492779193
81	0.4914482835
82	0.49051796
83	0.489296172
84	0.4882195511
85	0.4870939084
86	0.4854555803
87	0.4842284411
88	0.4830615316
89	0.4819827927
90	0.4810195343
91	0.4797493066
92	0.4787574615
93	0.4776754123
94	0.4764717555
95	0.4755174309
96	0.4742474717
97	0.4731907383
98	0.4720922264
99	0.4707865786
100	0.4697809229
101	0.4689545225
102	0.4687128981
103	0.4676595727
104	0.4664988994
105	0.4655288673
106	0.464467652
107	0.4633245541
108	0.4624159123
109	0.4613689264
110	0.4602094693
111	0.4592307676
112	0.4582270666
113	0.4575990881
114	0.4564908129
115	0.4558189927
116	0.4549546363
117	0.4543598796
118	0.4536018737
119	0.4529120202
120	0.4520041096
121	0.4510440172
122	0.4505274655
123	0.4498654554
124	0.4489466959
125	0.4483135638
126	0.4477611778
127	0.4470141886
128	0.4464670019
129	0.445812441
130	0.4450196706
131	0.4443715599
132	0.4432495539
133	0.4425934851
134	0.4418916732
135	0.4412173419
136	0.4404828568
